"","index","Job Title","Rating","Company Name","Location","Headquarters","Size","Founded","Type of ownership","Industry","Sector","Revenue","Competitors","Hourly","Employer provided","Lower Salary","Upper Salary","AvgSalary","company_txt","Job Location","Age","Python","spark","aws","excel","sql","sas","keras","pytorch","scikit","tensor","hadoop","tableau","bi","flink","mongo","google_an","seniority_by_title","Degree","COL","AdjustedSalary"
"169",200,"Data Scientist",4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA","5001 - 10000",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)",NA,0,0,116,185,150.5,"Autodesk","CA",39,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,"sr","P",178.6,842.665173572228
"170",201,"Data Scientist",4.3,"OneMagnify
4.3","Dearborn, MI","Detroit, MI","201 - 500",1967,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable",NA,0,0,59,116,87.5,"OneMagnify","MI",54,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","na",88.9,984.251968503937
"171",202,"Data Engineer",4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL","51 - 200",2006,"Company - Public","Advertising & Marketing","Business Services","$25 to $50 million (USD)","Linqia, Collective Bias",0,0,48,95,71.5,"IZEA","FL",15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"na","na",97.9,730.337078651685
"172",203,"Data Analyst",3.6,"Vionic Group
3.6","San Rafael, CA","San Rafael, CA","51 - 200",2006,"Subsidiary or Business Segment","Department, Clothing, & Shoe Stores","Retail","$100 to $500 million (USD)",NA,0,0,31,72,51.5,"Vionic Group","CA",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"na","na",151.7,339.485827290705
"173",204,"Other Scientist",3.7,"Takeda Pharmaceuticals
3.7","San Diego, CA","OSAKA, Japan","10000+",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer",0,0,105,198,151.5,"Takeda Pharmaceuticals","CA",240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"sr","M",136.2,1112.33480176211
"174",205,"Data Analyst",2.8,"Dodge Data & Analytics
2.8","Hamilton, NJ","Hamilton, NJ","201 - 500",2014,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable",NA,0,0,55,100,77.5,"Dodge Data & Analytics","NJ",7,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"sr","na",125.1,619.504396482814
"175",206,"Other Scientist",3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan","10000+",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer",0,0,98,182,140,"Takeda Pharmaceuticals","MA",240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"sr","M",132.6,1055.80693815988
"176",207,"Data Scientist",3.3,"Plymouth Rock Assurance
3.3","Woodbridge, NJ","Boston, MA","1001 - 5000",1982,"Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","Arbella Insurance, Safety Insurance",0,0,73,124,98.5,"Plymouth Rock Assurance","NJ",39,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"sr","M",125.1,787.370103916867
"177",208,"Data Scientist",NA,"CA-One Tech Cloud","San Francisco, CA","Fremont, CA","51 - 200",2017,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)",NA,0,1,200,250,225,"CA-One Tech Clou","CA",4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"sr","na",178.6,1259.79843225084
"178",209,"Other Scientist",3.6,"Beebe Healthcare
3.6","Lewes, DE","Lewes, DE","1001 - 5000",1935,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)",NA,1,0,43,70,56.5,"Beebe Healthcare","DE",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",108.1,522.664199814986
"179",210,"Other Scientist",3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan","10000+",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer",0,0,117,206,161.5,"Takeda Pharmaceuticals","MA",240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sr","M",132.6,1217.94871794872
"180",211,"Data Scientist",3.4,"Argo Group US
3.4","New York, NY","Hamilton, Bermuda","1001 - 5000",1948,"Company - Public","Insurance Carriers","Insurance","$1 to $2 billion (USD)",NA,0,0,111,183,147,"Argo Group US","NY",73,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,"sr","na",128,1148.4375
"181",212,"Data Analyst",4.1,"Associated Electric Cooperative
4.1","Springfield, MO","Springfield, MO","501 - 1000",1961,"Company - Private","Energy","Oil, Gas, Energy & Utilities","$1 to $2 billion (USD)",NA,0,0,44,78,61,"Associated Electric Cooperative","MO",60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","M",86.7,703.575547866205
"182",213,"Machine Learning Engineer",2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 - 1000",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable",NA,0,0,81,159,120,"Software Engineering Institute","PA",37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",93.1,1288.93662728249
"183",215,"Data Scientist",3.2,"PennyMac
3.2","Phoenix, AZ","Westlake Village, CA","1001 - 5000",2008,"Company - Public","Lending","Finance","$500 million to $1 billion (USD)","Nationstar Mortgage, Caliber Funding, Quicken Loans",0,0,83,166,124.5,"PennyMac","AZ",13,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,"na","na",104.3,1193.67209971237
"184",216,"Data Scientist",3.9,"Zest AI
3.9","Burbank, CA","Burbank, CA","51 - 200",2009,"Company - Private","Financial Analytics & Research","Finance","$50 to $100 million (USD)",NA,0,0,114,182,148,"Zest AI","CA",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sr","M",151.7,975.609756097561
"185",217,"Data Analyst",4.7,"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL","Arlington, VA","51 - 200",1996,"Company - Private","Aerospace & Defense","Aerospace & Defense","$25 to $50 million (USD)","Torch Technologies, American Systems",0,0,42,76,59,"DECISIVE ANALYTICS Corporation","AL",25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",91.3,646.221248630887
"186",221,"Data Scientist",3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA","5001 - 10000",1852,"Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)",NA,0,0,114,179,146.5,"The Hanover Insurance Group","MA",169,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"sr","M",113.2,1294.16961130742
"187",223,"Other Scientist",2.9,"Karyopharm Therapeutics Inc.
2.9","Newton, MA","Newton, MA","201 - 500",NA,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable",NA,0,0,60,123,91.5,"Karyopharm Therapeutics Inc.","MA",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",131.6,695.288753799392
"188",224,"Machine Learning Engineer",3,"Tempus Labs
3.0","Chicago, IL","Chicago, IL","501 - 1000",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable",NA,0,0,100,166,133,"Tempus Labs","IL",6,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,"sr","P",100.1,1328.67132867133
"189",225,"Data Scientist",4.7,"Recursion Pharmaceuticals
4.7","Salt Lake City, UT","Salt Lake City, UT","51 - 200",2013,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)",NA,0,0,108,173,140.5,"Recursion Pharmaceuticals","UT",8,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,"sr","na",105.9,1326.72332389046
"190",226,"Data Engineer",3.7,"P2 Energy Solutions
3.7","Lafayette, LA","Denver, CO","501 - 1000",NA,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable",NA,0,0,48,93,70.5,"P2 Energy Solutions","LA",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",89.6,786.830357142857
"191",228,"Other Scientist",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY","10000+",2014,"Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)",NA,0,0,54,115,84.5,"Rochester Regional Health","NY",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sr","P",96.6,874.741200828157
"192",229,"Data Engineer",4,"ClearEdge
4.0","Annapolis Junction, MD","Annapolis Junction, MD","51 - 200",2002,"Company - Private","Computer Hardware & Software","Information Technology","$5 to $10 million (USD)",NA,0,0,60,127,93.5,"ClearEdge","MD",19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",129.7,720.894371626831
"193",230,"Other Scientist",4.4,"Rubius Therapeutics
4.4","Cambridge, MA","Cambridge, MA","201 - 500",2013,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)",NA,0,0,90,179,134.5,"Rubius Therapeutics","MA",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sr","P",131.6,1022.03647416413
"194",233,"Machine Learning Engineer",3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA","201 - 500",2007,"Company - Private","Internet","Information Technology","$10 to $25 million (USD)","FLURRY, Chartboost",0,0,138,224,181,"Tapjoy","CA",14,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"na","na",178.6,1013.43784994401
"195",234,"Other Scientist",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY","10000+",2014,"Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)",NA,0,0,54,115,84.5,"Rochester Regional Health","NY",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sr","P",96.6,874.741200828157
"196",235,"Data Engineer",4.1,"Credit Sesame
4.1","Mountain View, CA","Mountain View, CA","51 - 200",2010,"Company - Private","Internet","Information Technology","$50 to $100 million (USD)","Credit Karma, LendUp, SoFi",0,0,190,220,205,"Credit Sesame","CA",11,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"sr","na",151.7,1351.35135135135
"197",239,"Data Analyst",3.6,"San Manuel Casino
3.6","Highland, CA","Highland, CA","1001 - 5000",1986,"Company - Private","Gambling","Arts, Entertainment & Recreation","$100 to $500 million (USD)",NA,0,0,35,62,48.5,"San Manuel Casino","CA",35,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,"na","M",151.7,319.709953856295
"198",240,"Other Scientist",4,"Texas Health Huguley Hospital
4.0","Burleson, TX","Arlington, TX","1001 - 5000",1977,"Hospital","Health Care Services & Hospitals","Health Care","$50 to $100 million (USD)",NA,1,0,37,52,44.5,"Texas Health Huguley Hospital","TX",44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",91.5,486.338797814208
"199",242,"Other Scientist",2.4,"Teasdale Latin Foods
2.4","Hoopeston, IL","Flower Mound, TX","501 - 1000",NA,"Company - Private","Food & Beverage Manufacturing","Manufacturing","$100 to $500 million (USD)",NA,0,0,39,66,52.5,"Teasdale Latin Foods","IL",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",94.5,555.555555555556
"200",243,"Machine Learning Engineer",2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 - 1000",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable",NA,0,0,81,167,124,"Software Engineering Institute","PA",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sr","P",93.1,1331.90118152524
"201",245,"Data Scientist",3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA","501 - 1000",1996,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)",NA,0,0,42,86,64,"Central California Alliance for Health","CA",25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"na","na",151.7,421.88529993408
"202",246,"Data Engineer",3,"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN","Knoxville, TN","10000+",1958,"Company - Private","Gas Stations","Retail","$10+ billion (USD)","TravelCenters of America, Love's Travel Stops & Country Stores, Wawa",0,0,69,127,98,"Pilot Flying J Travel Centers LLC","TN",63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"sr","M",91.6,1069.86899563319
"203",247,"Other Scientist",3.6,"Beebe Healthcare
3.6","Millville, DE","Lewes, DE","1001 - 5000",1935,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)",NA,1,0,43,70,56.5,"Beebe Healthcare","DE",86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",108.1,522.664199814986
"204",248,"Other Scientist",3.3,"Palermo's Pizza
3.3","Milwaukee, WI","Milwaukee, WI","501 - 1000",1964,"Company - Private","Food & Beverage Manufacturing","Manufacturing","Unknown / Non-Applicable",NA,0,0,40,68,54,"Palermo's Pizza","WI",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",93.8,575.692963752665
"205",250,"Other Scientist",2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD","201 - 500",1961,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$25 to $50 million (USD)",NA,0,0,49,113,81,"Advanced BioScience Laboratories","MD",60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",129.7,624.518118735544
"206",251,"Data Engineer",3.4,"Echo Global Logistics
3.4","Chicago, IL","Chicago, IL","1001 - 5000",2005,"Company - Public","Transportation Management","Transportation & Logistics","$2 to $5 billion (USD)","C.H. Robinson, Total Quality Logistics, Coyote Logistics",0,0,75,140,107.5,"Echo Global Logistics","IL",16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"sr","na",100.1,1073.92607392607
"207",253,"Data Scientist",3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID","501 - 1000",1995,"Company - Private","Logistics & Supply Chain","Transportation & Logistics","Unknown / Non-Applicable",NA,0,0,86,139,112.5,"Truckstop.com","IL",26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"na","M",100.1,1123.87612387612
"208",254,"Data Scientist",3.7,"Lockheed Martin
3.7","Herndon, VA","Bethesda, MD","10000+",1995,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","Boeing, Northrop Grumman, Raytheon",0,0,66,112,89,"Lockheed Martin","VA",26,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"na","na",100.7,883.813306852036
"209",255,"Data Scientist",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI","1001 - 5000",1925,"Company - Private","Insurance Carriers","Insurance","$1 to $2 billion (USD)",NA,0,0,76,125,100.5,"Acuity Insurance","WI",96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"sr","M",89.7,1120.40133779264
"210",256,"Data Analyst",3.8,"Fareportal
3.8","New York, NY","New York, NY","1001 - 5000",2002,"Company - Private","Travel Agencies","Travel & Tourism","$2 to $5 billion (USD)","Expedia Group, Orbitz Worldwide, Priceline.com",0,0,44,86,65,"Fareportal","NY",19,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"na","na",128,507.8125
"211",257,"Other Scientist",3.4,"Veterans Affairs, Veterans Health Administration
3.4","New Orleans, LA","Washington, DC","10000+",1930,"Government","Federal Agencies","Government","Unknown / Non-Applicable",NA,1,0,31,52,41.5,"Veterans Affairs, Veterans Health Administration","LA",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",92.4,449.134199134199
"212",258,"Data Scientist",4.3,"Credera
4.3","Dallas, TX","Dallas, TX","201 - 500",1999,"Subsidiary or Business Segment","Consulting","Business Services","Unknown / Non-Applicable",NA,0,0,53,92,72.5,"Credera","TX",22,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,"na","M",98.5,736.040609137056
"213",259,"Data Analyst",4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL","501 - 1000",2010,"Company - Private","Security Services","Business Services","$100 to $500 million (USD)",NA,0,0,44,78,61,"KnowBe4","FL",11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"sr","M",97.9,623.084780388151
"214",260,"Data Scientist",3.4,"Church & Dwight
3.4","Ewing, NJ","Ewing, NJ","1001 - 5000",1846,"Company - Public","Consumer Products Manufacturing","Manufacturing","$2 to $5 billion (USD)",NA,0,0,85,134,109.5,"Church & Dwight","NJ",175,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,"na","M",125.1,875.299760191847
"215",262,"Data Engineer",3.9,"Cogo Labs
3.9","Cambridge, MA","Cambridge, MA","51 - 200",2005,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable",NA,0,0,59,110,84.5,"Cogo Labs","MA",16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",131.6,642.09726443769
"216",263,"Data Scientist",3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 - 200",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)",NA,0,0,64,111,87.5,"Spectrum Communications and Consulting","IL",29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"na","na",100.1,874.125874125874
"217",264,"Data Analyst",3.1,"NCSOFT
3.1","San Mateo, CA","Seoul, South Korea","1001 - 5000",1997,"Company - Public","Video Games","Media","$10+ billion (USD)","Blizzard Entertainment, Riot Games, Electronic Arts",0,0,65,120,92.5,"NCSOFT","CA",24,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"na","na",151.7,609.756097560976
"218",265,"Data Scientist",3.2,"MITRE
3.2","McLean, VA","Bedford, MA","5001 - 10000",1958,"Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","Battelle, General Atomics, SAIC",0,0,60,103,81.5,"MITRE","VA",63,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"na","na",100.7,809.334657398212
"219",266,"Data Analyst",4.3,"Dayton Freight Lines, Inc.
4.3","Dayton, OH","Dayton, OH","1001 - 5000",1981,"Company - Private","Trucking","Transportation & Logistics","Unknown / Non-Applicable","Old Dominion Freight, Pitt Ohio Express",0,0,53,105,79,"Dayton Freight Lines, Inc.","OH",40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",88.4,893.665158371041
"220",267,"Data Scientist",3.6,"MassMutual
3.6","Boston, MA","Springfield, MA","5001 - 10000",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)",NA,0,0,124,204,164,"MassMutual","MA",170,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,"sr","P",132.6,1236.802413273
"221",268,"Data Scientist",3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA","10000+",1976,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",NA,0,0,131,207,169,"Genentech","CA",45,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"sr","P",178.6,946.248600223964
"222",269,"Data Scientist",3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA","5001 - 10000",1996,"Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)",NA,0,0,110,174,142,"Juniper Networks","CA",25,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,"sr","P",151.7,936.058009228741
"223",270,"Data Analyst",2.8,"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA","San Luis Obispo, CA","501 - 1000",NA,"Nonprofit Organization","Social Assistance","Non-Profit","$50 to $100 million (USD)",NA,0,0,33,62,47.5,"Community Action Partnership of San Luis Obispo","CA",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",151.7,313.117996044825
"224",273,"Other Scientist",3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan","10000+",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer",0,0,52,101,76.5,"Takeda Pharmaceuticals","MA",240,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","P",132.6,576.923076923077
"225",274,"Data Analyst",3.4,"TrueAccord
3.4","San Francisco, CA","San Francisco, CA","51 - 200",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,48,90,69,"TrueAccord","CA",8,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"na","na",178.6,386.338185890258
"226",275,"Data Analyst",4,"DRB Systems
4.0","Meridian, ID","Akron, OH","201 - 500",1984,"Company - Private","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)",NA,0,0,34,64,49,"DRB Systems","ID",37,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","na",92.3,530.877573131094
"227",276,"Data Scientist",3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA","10000+",1970,"Company - Public","Computer Hardware & Software","Information Technology","$10+ billion (USD)","Seagate Technology, Toshiba",0,0,132,211,171.5,"Western Digital","CA",51,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"na","M",173.5,988.472622478386
"228",277,"Data Scientist",3.8,"Legal & General America
3.8","Frederick, MD","Frederick, MD","501 - 1000",1981,"Company - Private","Insurance Carriers","Insurance","$500 million to $1 billion (USD)",NA,0,0,81,133,107,"Legal & General America","MD",40,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","M",129.7,824.980724749422
"229",278,"Data Analyst",3.7,"Corcentric
3.7","Cherry Hill, NJ","Cherry Hill, NJ","201 - 500",1996,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable",NA,0,0,42,76,59,"Corcentric","NJ",25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",125.1,471.622701838529
"230",281,"Data Scientist",3.5,"U.Group
3.5","Indianapolis, IN","Arlington, VA","201 - 500",2019,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)",NA,0,0,66,111,88.5,"U.Group","IN",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",90.2,981.152993348115
"231",282,"Data Engineer",4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT","Salt Lake City, UT","10000+",1830,"Nonprofit Organization","Religious Organizations","Non-Profit","Unknown / Non-Applicable",NA,0,0,74,140,107,"The Church of Jesus Christ of Latter-day Saints","UT",91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","M",98.4,1087.39837398374
"232",284,"Data Scientist",4,"Pfizer
4.0","Cambridge, MA","New York, NY","10000+",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",NA,0,0,63,110,86.5,"Pfizer","MA",172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",131.6,657.294832826748
"233",285,"Data Scientist",4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA","51 - 200",1935,"Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics","$10 to $25 million (USD)",NA,0,0,63,105,84,"SMC 3","KY",86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","M",91.6,917.03056768559
"234",288,"Data Analyst",4.7,"Systems Evolution Inc.
4.7","New York, NY","Cincinnati, OH","201 - 500",1992,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)",NA,0,0,91,138,114.5,"Systems Evolution Inc.","NY",29,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"na","M",128,894.53125
"235",289,"Other Scientist",3.5,"Sunovion
3.5","Marlborough, MA","Marlborough, MA","1001 - 5000",2010,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","Shire, GlaxoSmithKline, Allergan",0,0,100,190,145,"Sunovion","MA",11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"sr","P",131.6,1101.82370820669
"236",290,"Data Engineer",4.4,"Eventbrite
4.4","Nashville, TN","San Francisco, CA","1001 - 5000",2006,"Company - Public","Internet","Information Technology","$100 to $500 million (USD)","See Tickets, TicketWeb, Vendini",0,0,62,114,88,"Eventbrite","TN",15,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"na","na",100.1,879.120879120879
"237",291,"Data Engineer",4.1,"Centro
4.1","Chicago, IL","Chicago, IL","501 - 1000",2001,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","Mediaocean, The Trade Desk, MediaMath",0,0,71,129,100,"Centro","IL",20,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"na","na",100.1,999.000999000999
"238",292,"Data Analyst",2.9,"National Student Clearinghouse
2.9","Herndon, VA","Herndon, VA","201 - 500",1993,"Nonprofit Organization","Colleges & Universities","Education","$25 to $50 million (USD)","Ellucian, Parchment, College Board",0,0,43,80,61.5,"National Student Clearinghouse","VA",28,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,"sr","M",100.7,610.724925521351
"239",293,"Data Scientist",2.5,"comScore
2.5","Portland, OR","Reston, VA","1001 - 5000",1999,"Company - Public","Advertising & Marketing","Business Services","$1 to $2 billion (USD)","Nielsen, Hitwise, Coremetrics",0,0,74,119,96.5,"comScore","OR",22,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",116.5,828.326180257511
"240",295,"Data Analyst",4.2,"SullivanCotter
4.2","Minneapolis, MN","Chicago, IL","201 - 500",1992,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Mercer, Korn Ferry, Integrated Healthcare Strategies",0,0,55,97,76,"SullivanCotter","MN",29,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"na","na",105.4,721.062618595825
"241",296,"Data Scientist",3.9,"NPD
3.9","Port Washington, NY","Port Washington, NY","1001 - 5000",1966,"Company - Private","Research & Development","Business Services","$100 to $500 million (USD)",NA,0,0,15,16,15.5,"NPD","NY",55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na",139.1,111.430625449317
"242",299,"Data Scientist",4.3,"Bakery Agency
4.3","Austin, TX","Austin, TX","1 - 50",2010,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable",NA,0,0,61,106,83.5,"Bakery Agency","TX",11,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"na","na",106.6,783.302063789869
"243",300,"Data Scientist",2.7,"State of Wisconsin Investment Board
2.7","Madison, WI","Madison, WI","51 - 200",1951,"Government","Investment Banking & Asset Management","Finance","$50 to $100 million (USD)",NA,0,0,91,149,120,"State of Wisconsin Investment Board","WI",70,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"na","na",99.5,1206.03015075377
"244",302,"Data Scientist",3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA","10000+",1976,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)",NA,0,0,127,199,163,"Genentech","CA",45,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"na","M",178.6,912.653975363942
